Vernier Format 2
20250227_Part1_EMPIRE_Run6	15:27  Thursday, February 27, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	45.677257538	0.340299994
2.000000000	45.467388153	0.342299998
4.000000000	44.915885925	0.347600043
6.000000000	44.432422638	0.352300018
8.000000000	43.853069305	0.358000010
10.000000000	43.291240692	0.363599956
12.000000000	42.766136169	0.368899971
14.000000000	42.305809021	0.373600006
16.000000000	41.927600861	0.377499998
18.000000000	41.485851288	0.382099986
20.000000000	41.001525879	0.387199968
22.000000000	40.597568512	0.391499966
24.000000000	40.142089844	0.396400034
26.000000000	39.664318085	0.401600003
28.000000000	39.273536682	0.405900002
30.000000000	38.841857910	0.410699993
32.000000000	38.485752106	0.414700031
34.000000000	38.071498871	0.419400036
36.000000000	37.705093384	0.423599988
38.000000000	37.290653229	0.428400010
40.000000000	36.940265656	0.432499975
42.000000000	36.551063538	0.437099993
44.000000000	36.224300385	0.440999985
46.000000000	35.916996002	0.444700003
48.000000000	35.554946899	0.449099958
50.000000000	35.237087250	0.453000009
52.000000000	34.930110931	0.456800044
54.000000000	34.585971832	0.461100012
56.000000000	34.284671783	0.464900017
58.000000000	34.009479523	0.468400002
60.000000000	33.674411774	0.472699970
62.000000000	33.404117584	0.476199985
64.000000000	33.135993958	0.479699999
66.000000000	32.870021820	0.483200014
68.000000000	32.568668365	0.487199992
70.000000000	32.314689636	0.490600020
72.000000000	32.055309296	0.494100034
74.000000000	31.819986343	0.497299999
76.000000000	31.564577103	0.500800014
78.000000000	31.325641632	0.504100025
80.000000000	31.052745819	0.507900000
82.000000000	30.817684174	0.511200011
84.000000000	30.598491669	0.514299989
86.000000000	30.387851715	0.517300010
88.000000000	30.164768219	0.520500004
90.000000000	29.950220108	0.523599982
92.000000000	29.744043350	0.526600003
94.000000000	29.525686264	0.529799998
96.000000000	29.315683365	0.532899976
98.000000000	29.100471497	0.536099970
100.000000000	28.886835098	0.539300025
102.000000000	28.687982559	0.542299986
104.000000000	28.483934402	0.545400023
106.000000000	28.294366837	0.548300028
108.000000000	28.125484467	0.550899982
110.000000000	27.951169968	0.553600013
112.000000000	27.745975494	0.556800008
114.000000000	27.599424362	0.559099972
116.000000000	27.415742874	0.561999977
118.000000000	27.283493042	0.564100027
120.000000000	27.126888275	0.566600025
122.000000000	26.977394104	0.569000006
124.000000000	26.816370010	0.571600020
126.000000000	26.680870056	0.573800027
128.000000000	26.546056747	0.575999975
130.000000000	26.460617065	0.577400029
132.000000000	26.314794540	0.579800010
134.000000000	26.187858582	0.581900001
136.000000000	26.055534363	0.584100008
138.000000000	25.947767258	0.585900009
140.000000000	25.834495544	0.587800026
142.000000000	25.739494324	0.589399993
144.000000000	25.662563324	0.590699971
146.000000000	25.532892227	0.592899978
148.000000000	25.456575394	0.594200015
150.000000000	25.351285934	0.596000016
152.000000000	25.281335831	0.597199976
154.000000000	25.199970245	0.598599970
156.000000000	25.130435944	0.599799991
158.000000000	25.038019180	0.601400018
160.000000000	24.934461594	0.603200018
162.000000000	24.900037766	0.603799999
164.000000000	24.831329346	0.605000019
166.000000000	24.808469772	0.605400026
168.000000000	24.728626251	0.606800020
170.000000000	24.683118820	0.607599974
172.000000000	24.688800812	0.607500017
174.000000000	24.654716492	0.608099997
176.000000000	24.683118820	0.607599974
178.000000000	24.666070938	0.607900023
180.000000000	24.649038315	0.608200014
