Vernier Format 2
20250227_Part1_EMPIRE_Run5	15:22  Thursday, February 27, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	46.174266815	0.335599989
2.000000000	45.614192963	0.340900004
4.000000000	44.998703003	0.346799999
6.000000000	44.371078491	0.352900028
8.000000000	43.742134094	0.359100044
10.000000000	43.201618195	0.364499986
12.000000000	42.569641113	0.370900005
14.000000000	41.995231628	0.376800030
16.000000000	41.428577423	0.382699966
18.000000000	40.982646942	0.387400001
20.000000000	40.448276520	0.393099993
22.000000000	39.930065155	0.398699969
24.000000000	39.618679047	0.402099997
26.000000000	39.165168762	0.407099992
28.000000000	38.752525330	0.411699980
30.000000000	38.282474518	0.416999996
32.000000000	37.887851715	0.421500027
34.000000000	37.402446747	0.427099973
36.000000000	37.016895294	0.431600004
38.000000000	36.551063538	0.437099993
40.000000000	36.207622528	0.441199988
42.000000000	35.793155670	0.446200013
44.000000000	35.448673248	0.450400025
46.000000000	35.067111969	0.455100000
48.000000000	34.681671143	0.459899992
50.000000000	34.355796814	0.463999987
52.000000000	34.048656464	0.467900008
54.000000000	33.728729248	0.472000033
56.000000000	33.373367310	0.476599962
58.000000000	33.090244293	0.480300039
60.000000000	32.779323578	0.484400004
62.000000000	32.538684845	0.487599999
64.000000000	32.218105316	0.491899997
66.000000000	31.908029556	0.496100008
68.000000000	31.637342453	0.499799997
70.000000000	31.390628815	0.503199995
72.000000000	31.145835876	0.506600022
74.000000000	30.888725281	0.510200024
76.000000000	30.626686096	0.513899982
78.000000000	30.387851715	0.517300010
80.000000000	30.053844452	0.522099972
82.000000000	29.846952438	0.525099993
84.000000000	29.661968231	0.527800024
86.000000000	29.417108536	0.531400025
88.000000000	29.167554855	0.535099983
90.000000000	28.913454056	0.538900018
92.000000000	28.694585800	0.542200029
94.000000000	28.438060760	0.546100020
96.000000000	28.248798370	0.549000025
98.000000000	28.028509140	0.552399993
100.000000000	27.822748184	0.555599988
102.000000000	27.618495941	0.558799982
104.000000000	27.497930527	0.560699999
106.000000000	27.321214676	0.563499987
108.000000000	27.158138275	0.566100001
110.000000000	26.989822388	0.568799973
112.000000000	26.822546005	0.571500003
114.000000000	26.680870056	0.573800027
116.000000000	26.521617889	0.576399982
118.000000000	26.387607574	0.578599989
120.000000000	26.236145020	0.581099987
122.000000000	26.097564697	0.583400011
124.000000000	25.983638763	0.585300028
126.000000000	25.864255905	0.587300003
128.000000000	25.769142151	0.588900030
130.000000000	25.674383163	0.590499997
132.000000000	25.656654358	0.590799987
134.000000000	25.585859299	0.592000008
136.000000000	25.515258789	0.593200028
138.000000000	25.450717926	0.594299972
140.000000000	25.398027420	0.595200002
142.000000000	25.339614868	0.596199989
144.000000000	25.287155151	0.597100019
146.000000000	25.246431351	0.597800016
148.000000000	25.211576462	0.598399997
150.000000000	25.176771164	0.598999977
152.000000000	25.165176392	0.599200010
154.000000000	25.142009735	0.599600017
156.000000000	25.136222839	0.599699974
158.000000000	25.130435944	0.599799991
160.000000000	25.136222839	0.599699974
162.000000000	25.147800446	0.599500000
164.000000000	25.165176392	0.599200010
166.000000000	25.188365936	0.598800004
168.000000000	25.211576462	0.598399997
170.000000000	25.240619659	0.597899973
172.000000000	25.281335831	0.597199976
174.000000000	25.327945709	0.596400023
176.000000000	25.380491257	0.595499992
178.000000000	25.427286148	0.594699979
180.000000000	25.480033875	0.593800008
