Vernier Format 2
20250227_Part1_EMPIRE_Run11	15:49  Thursday, February 27, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	49.158657074	0.308399975
2.000000000	48.955329895	0.310200006
4.000000000	48.786540985	0.311699986
6.000000000	48.674331665	0.312700003
8.000000000	48.629520416	0.313100010
10.000000000	48.562385559	0.313699991
12.000000000	48.495338440	0.314300001
14.000000000	48.439540863	0.314799994
16.000000000	48.283641815	0.316199988
18.000000000	48.150409698	0.317400008
20.000000000	48.083934784	0.317999989
22.000000000	48.106086731	0.317799956
24.000000000	48.028606415	0.318500012
26.000000000	47.907115936	0.319599986
28.000000000	47.807937622	0.320499986
30.000000000	47.687000275	0.321599990
32.000000000	47.610198975	0.322300017
34.000000000	47.456966400	0.323700041
36.000000000	47.304233551	0.325100005
38.000000000	47.184570313	0.326200008
40.000000000	47.086887360	0.327100009
42.000000000	47.000232697	0.327899992
44.000000000	46.902935028	0.328799993
46.000000000	46.805835724	0.329699993
48.000000000	46.708938599	0.330599993
50.000000000	46.612243652	0.331499994
52.000000000	46.526458740	0.332300007
54.000000000	46.430141449	0.333200008
56.000000000	46.302028656	0.334399968
58.000000000	46.259399414	0.334800005
60.000000000	46.089286804	0.336400002
62.000000000	45.983287811	0.337399989
64.000000000	45.877525330	0.338400006
66.000000000	45.782550812	0.339300007
68.000000000	45.656227112	0.340499967
70.000000000	45.603691101	0.340999991
72.000000000	45.635204315	0.340700001
74.000000000	45.540729523	0.341600031
76.000000000	45.456916809	0.342400014
78.000000000	45.352371216	0.343400002
80.000000000	45.268909454	0.344199955
82.000000000	45.175193787	0.345099986
84.000000000	45.112823486	0.345699996
86.000000000	45.029796600	0.346500009
88.000000000	44.926231384	0.347499996
90.000000000	44.843551636	0.348300010
92.000000000	44.771327972	0.349000037
94.000000000	44.688934326	0.349799991
96.000000000	44.606689453	0.350600004
98.000000000	44.514347076	0.351500005
100.000000000	44.432422638	0.352300018
102.000000000	44.340442657	0.353199989
104.000000000	44.269031525	0.353899986
106.000000000	44.207912445	0.354499996
108.000000000	44.116394043	0.355399996
110.000000000	44.045345306	0.356099993
112.000000000	43.954162598	0.356999993
114.000000000	43.863170624	0.357899994
116.000000000	43.802612305	0.358499974
118.000000000	43.722000122	0.359299988
120.000000000	43.641532898	0.360100001
122.000000000	43.571247101	0.360799998
124.000000000	43.481048584	0.361699998
126.000000000	43.421016693	0.362300009
128.000000000	43.321151733	0.363299996
130.000000000	43.241424561	0.364100009
132.000000000	43.151905060	0.365000039
134.000000000	43.052661896	0.365999997
136.000000000	42.983325958	0.366699994
138.000000000	42.914100647	0.367399991
140.000000000	42.844985962	0.368099988
142.000000000	42.766136169	0.368899971
144.000000000	42.687427521	0.369700015
146.000000000	42.618679047	0.370400012
148.000000000	42.530452728	0.371299982
150.000000000	42.432636261	0.372299999
152.000000000	42.364295959	0.372999996
154.000000000	42.276596069	0.373899996
156.000000000	42.198787689	0.374700040
158.000000000	42.130828857	0.375400007
160.000000000	42.053291321	0.376200020
162.000000000	41.985565186	0.376899987
164.000000000	41.908294678	0.377700001
166.000000000	41.850437164	0.378300011
168.000000000	41.754184723	0.379299998
170.000000000	41.686939240	0.379999995
172.000000000	41.619800568	0.380699992
174.000000000	41.533641815	0.381599993
176.000000000	41.447658539	0.382499993
178.000000000	41.380908966	0.383199960
180.000000000	41.285732269	0.384200007
