Vernier Format 2
20250227_Part1_EMPIRE_Run7	15:31  Thursday, February 27, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	47.665046692	0.321799964
2.000000000	47.162845612	0.326400012
4.000000000	46.655197144	0.331099957
6.000000000	46.142379761	0.335900009
8.000000000	45.645713806	0.340599984
10.000000000	45.185596466	0.344999969
12.000000000	44.730110168	0.349400043
14.000000000	44.289421082	0.353699982
16.000000000	43.903587341	0.357499987
18.000000000	43.451023102	0.361999989
20.000000000	43.022933960	0.366299987
22.000000000	42.579444885	0.370800018
24.000000000	42.150234222	0.375200003
26.000000000	41.792659760	0.378899992
28.000000000	41.390434265	0.383100003
30.000000000	41.001525879	0.387199968
32.000000000	40.672416687	0.390700012
34.000000000	40.299533844	0.394699991
36.000000000	39.985267639	0.398099989
38.000000000	39.591323853	0.402399987
40.000000000	39.219314575	0.406500012
42.000000000	38.913471222	0.409900039
44.000000000	38.565589905	0.413800031
46.000000000	38.273658752	0.417100012
48.000000000	37.931499481	0.420999974
50.000000000	37.635700226	0.424400002
52.000000000	37.299243927	0.428299963
54.000000000	37.025421143	0.431499988
56.000000000	36.694416046	0.435400009
58.000000000	36.408264160	0.438800037
60.000000000	36.157634735	0.441799998
62.000000000	35.834388733	0.445699990
64.000000000	35.579513550	0.448799998
66.000000000	35.293926239	0.452300012
68.000000000	35.050968170	0.455299973
70.000000000	34.793651581	0.458499998
72.000000000	34.506427765	0.462099999
74.000000000	34.268886566	0.465100020
76.000000000	34.048656464	0.467900008
78.000000000	33.822055817	0.470800012
80.000000000	33.558303833	0.474200010
82.000000000	33.334964752	0.477099985
84.000000000	33.097866058	0.480199993
86.000000000	32.832199097	0.483700037
88.000000000	32.621204376	0.486499995
90.000000000	32.404102325	0.489399999
92.000000000	32.181034088	0.492399991
94.000000000	31.966861725	0.495299995
96.000000000	31.761425018	0.498100013
98.000000000	31.550046921	0.500999987
100.000000000	31.311220169	0.504299998
102.000000000	31.110000610	0.507099986
104.000000000	30.931430817	0.509599984
106.000000000	30.746805191	0.512199998
108.000000000	30.563282013	0.514800012
110.000000000	30.380853653	0.517400026
112.000000000	30.192564011	0.520099998
114.000000000	30.005437851	0.522800028
116.000000000	29.826343536	0.525399983
118.000000000	29.661968231	0.527800024
120.000000000	29.491712570	0.530300021
122.000000000	29.322431564	0.532800019
124.000000000	29.154123306	0.535300016
126.000000000	28.986780167	0.537800014
128.000000000	28.787239075	0.540799975
130.000000000	28.589067459	0.543799996
132.000000000	28.424968719	0.546299994
134.000000000	28.255304337	0.548900008
136.000000000	28.106063843	0.551199973
138.000000000	27.938302994	0.553799987
140.000000000	27.816341400	0.555700004
142.000000000	27.631216049	0.558600008
144.000000000	27.516931534	0.560400009
146.000000000	27.377889633	0.562600017
148.000000000	27.245826721	0.564700007
150.000000000	27.101917267	0.566999972
152.000000000	26.977394104	0.569000006
154.000000000	26.902954102	0.570200026
156.000000000	26.797851563	0.571900010
158.000000000	26.662445068	0.574100018
160.000000000	26.527723312	0.576300025
162.000000000	26.424087524	0.578000009
164.000000000	26.296625137	0.580100000
166.000000000	26.169776917	0.582199991
168.000000000	26.043540955	0.584299982
170.000000000	25.929849625	0.586199999
172.000000000	25.828550339	0.587899983
174.000000000	25.721719742	0.589699984
176.000000000	25.609436035	0.591600001
178.000000000	25.503513336	0.593400002
180.000000000	25.415576935	0.594900012
