Vernier Format 2
20250319_RedDelicious_Run21.SBL	14:43  Wednesday, March 19, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	100.000000000	0.000000000
8.000000000	64.863441467	0.188000008
10.000000000	64.938163757	0.187500000
12.000000000	64.773895264	0.188599989
14.000000000	64.624916077	0.189600006
16.000000000	64.446601868	0.190799981
18.000000000	64.209609985	0.192399964
20.000000000	64.032432556	0.193599999
22.000000000	63.885162354	0.194600001
24.000000000	63.752906799	0.195500016
26.000000000	63.606281281	0.196499988
28.000000000	63.459987640	0.197500020
30.000000000	63.241184235	0.199000001
32.000000000	62.965114594	0.200900003
34.000000000	62.704685211	0.202700004
36.000000000	62.445335388	0.204500005
38.000000000	62.201377869	0.206199989
40.000000000	62.001186371	0.207599998
42.000000000	61.744743347	0.209400013
44.000000000	61.631111145	0.210199997
46.000000000	61.475208282	0.211299986
48.000000000	61.362068176	0.212100014
50.000000000	61.164581299	0.213499993
52.000000000	60.925624847	0.215200007
54.000000000	60.673633575	0.216999993
56.000000000	60.436595917	0.218700007
58.000000000	60.242084503	0.220100015
60.000000000	60.075859070	0.221300006
62.000000000	59.841159821	0.223000005
64.000000000	59.593650818	0.224800006
66.000000000	59.374504089	0.226400003
68.000000000	59.183414459	0.227799982
70.000000000	58.965774536	0.229399994
72.000000000	58.735408783	0.231100008
74.000000000	58.452083588	0.233199999
76.000000000	58.196918488	0.235100016
78.000000000	57.956211090	0.236900017
80.000000000	57.756385803	0.238399997
82.000000000	57.597019196	0.239599988
84.000000000	57.477783203	0.240499988
86.000000000	57.358791351	0.241400003
88.000000000	57.121551514	0.243200004
90.000000000	56.806758881	0.245599985
92.000000000	56.584827423	0.247299999
94.000000000	56.363765717	0.248999998
96.000000000	56.143566132	0.250699997
98.000000000	55.924228668	0.252400011
100.000000000	55.718574524	0.254000008
102.000000000	55.526462555	0.255499989
104.000000000	55.322273254	0.257099986
106.000000000	55.131523132	0.258599997
108.000000000	54.954090118	0.259999990
110.000000000	54.789836884	0.261299998
112.000000000	54.613498688	0.262699991
114.000000000	54.462802887	0.263900012
116.000000000	54.325035095	0.264999986
118.000000000	54.162662506	0.266299993
120.000000000	54.038089752	0.267300010
122.000000000	53.876579285	0.268599987
124.000000000	53.690814972	0.270099998
126.000000000	53.493373871	0.271700025
128.000000000	53.284389496	0.273400009
130.000000000	53.076221466	0.275099993
132.000000000	52.844524384	0.277000010
134.000000000	52.662322998	0.278499991
136.000000000	52.384159088	0.280800015
138.000000000	52.215564728	0.282200009
140.000000000	52.047515869	0.283600003
142.000000000	51.939765930	0.284500003
144.000000000	51.844181061	0.285299987
146.000000000	51.689224243	0.286599994
148.000000000	51.534729004	0.287900001
150.000000000	51.345218658	0.289499998
152.000000000	51.179965973	0.290900022
154.000000000	50.968284607	0.292699993
156.000000000	50.780853271	0.294300020
158.000000000	50.605766296	0.295800000
160.000000000	50.419670105	0.297399998
162.000000000	50.292125702	0.298500001
164.000000000	50.153358459	0.299699992
166.000000000	49.968925476	0.301299989
168.000000000	49.796634674	0.302800000
170.000000000	49.602092743	0.304500014
172.000000000	49.385562897	0.306400001
174.000000000	49.237953186	0.307700008
176.000000000	49.124710083	0.308699995
178.000000000	48.977882385	0.310000002
180.000000000	48.809009552	0.311500013
