Vernier Format 2
20250319_RedDelicious_Run31.SBL	15:37  Wednesday, March 19, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	56.885292053	0.245000005
8.000000000	56.872196198	0.245100006
10.000000000	56.636966705	0.246900007
12.000000000	56.350788116	0.249100000
14.000000000	56.066055298	0.251300007
16.000000000	55.795604706	0.253399998
18.000000000	55.500896454	0.255699992
20.000000000	55.182327271	0.258199990
22.000000000	54.840324402	0.260899991
24.000000000	54.512989044	0.263500005
26.000000000	54.212574005	0.265899986
28.000000000	53.901393890	0.268400013
30.000000000	53.530338287	0.271400005
32.000000000	53.174079895	0.274300009
34.000000000	52.832359314	0.277099997
36.000000000	52.444507599	0.280299991
38.000000000	52.059501648	0.283499986
40.000000000	51.665424347	0.286799997
42.000000000	51.333393097	0.289600015
44.000000000	51.038745880	0.292100012
46.000000000	50.710746765	0.294900000
48.000000000	50.408061981	0.297499985
50.000000000	50.188011169	0.299400002
52.000000000	49.922924042	0.301699996
54.000000000	49.659233093	0.303999990
56.000000000	49.419685364	0.306100011
58.000000000	49.090789795	0.308999985
60.000000000	48.786540985	0.311699986
62.000000000	48.461853027	0.314599991
64.000000000	48.172588348	0.317200005
66.000000000	47.851989746	0.320100009
68.000000000	47.577320099	0.322600037
70.000000000	47.249801636	0.325599998
72.000000000	46.978591919	0.328099996
74.000000000	46.687435150	0.330799997
76.000000000	46.451526642	0.333000004
78.000000000	46.195537567	0.335399985
80.000000000	45.972698212	0.337500006
82.000000000	45.803642273	0.339099973
84.000000000	45.530246735	0.341699988
86.000000000	45.289756775	0.344000012
88.000000000	45.092052460	0.345899999
90.000000000	44.864208221	0.348100007
92.000000000	44.668361664	0.349999964
94.000000000	44.493850708	0.351700008
96.000000000	44.258838654	0.353999972
98.000000000	44.065631866	0.355899990
100.000000000	43.863170624	0.357899994
102.000000000	43.631484985	0.360200018
104.000000000	43.351085663	0.363000035
106.000000000	43.102256775	0.365500003
108.000000000	42.854850769	0.368000001
110.000000000	42.657951355	0.370000005
112.000000000	42.442405701	0.372200012
114.000000000	42.257129669	0.374100000
116.000000000	42.033931732	0.376399994
118.000000000	41.831169128	0.378499985
120.000000000	41.619800568	0.380699992
122.000000000	41.447658539	0.382499993
124.000000000	41.314262390	0.383899987
126.000000000	41.162334442	0.385500014
128.000000000	41.020412445	0.386999965
130.000000000	40.878974915	0.388500005
132.000000000	40.691150665	0.390500039
134.000000000	40.513523102	0.392399997
136.000000000	40.308811188	0.394600004
138.000000000	40.105136871	0.396800011
140.000000000	39.902492523	0.398999989
142.000000000	39.737449646	0.400800020
144.000000000	39.582206726	0.402500004
146.000000000	39.427570343	0.404199988
148.000000000	39.246417999	0.406199962
150.000000000	39.084091187	0.407999992
152.000000000	38.940364838	0.409599990
154.000000000	38.779304504	0.411399990
156.000000000	38.618907928	0.413200021
158.000000000	38.459178925	0.414999992
160.000000000	38.326572418	0.416500032
162.000000000	38.238426208	0.417499989
164.000000000	38.150478363	0.418500006
166.000000000	38.045211792	0.419699997
168.000000000	37.896575928	0.421400040
170.000000000	37.687732697	0.423799992
172.000000000	37.566436768	0.425199986
174.000000000	37.454154968	0.426499993
176.000000000	37.316421509	0.428100020
178.000000000	37.187759399	0.429600000
180.000000000	37.068073273	0.430999994
