Vernier Format 2
20250319_RedDelicious_Run32.SBL	15:42  Wednesday, March 19, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	54.802452087	0.261200011
8.000000000	54.525543213	0.263399988
10.000000000	54.237541199	0.265700012
12.000000000	53.926219940	0.268200010
14.000000000	53.579666138	0.270999998
16.000000000	53.223079681	0.273900002
18.000000000	52.844524384	0.277000010
20.000000000	52.432430267	0.280400008
22.000000000	52.095474243	0.283199996
24.000000000	51.701126099	0.286500007
26.000000000	51.333393097	0.289600015
28.000000000	50.980018616	0.292600006
30.000000000	50.629077911	0.295599997
32.000000000	50.234260559	0.298999995
34.000000000	49.842521667	0.302399993
36.000000000	49.476619720	0.305599988
38.000000000	49.102092743	0.308899999
40.000000000	48.752849579	0.312000006
42.000000000	48.484176636	0.314399987
44.000000000	48.161499023	0.317299992
46.000000000	47.885055542	0.319800019
48.000000000	47.599239349	0.322399974
50.000000000	47.336917877	0.324800014
52.000000000	47.021881104	0.327699989
54.000000000	46.719696045	0.330499977
56.000000000	46.451526642	0.333000004
58.000000000	46.163635254	0.335700005
60.000000000	45.930374146	0.337900013
62.000000000	45.666736603	0.340400010
64.000000000	45.394161224	0.342999995
66.000000000	45.133602142	0.345499992
68.000000000	44.822902679	0.348500013
70.000000000	44.555366516	0.351099968
72.000000000	44.258838654	0.353999972
74.000000000	43.994663239	0.356600016
76.000000000	43.722000122	0.359299988
78.000000000	43.491058350	0.361600012
80.000000000	43.261341095	0.363900036
82.000000000	43.003124237	0.366499990
84.000000000	42.716926575	0.369399995
86.000000000	42.481513977	0.371800005
88.000000000	42.257129669	0.374100000
90.000000000	42.053291321	0.376200020
92.000000000	41.850437164	0.378300011
94.000000000	41.658153534	0.380299985
96.000000000	41.447658539	0.382499993
98.000000000	41.257225037	0.384499997
100.000000000	41.077121735	0.386399984
102.000000000	40.831939697	0.388999999
104.000000000	40.644332886	0.391000003
106.000000000	40.438961029	0.393200010
108.000000000	40.225364685	0.395500004
110.000000000	40.022109985	0.397700012
112.000000000	39.847400665	0.399599999
114.000000000	39.655189514	0.401699960
116.000000000	39.445728302	0.404000014
118.000000000	39.228347778	0.406399995
120.000000000	39.030128479	0.408600032
122.000000000	38.877651215	0.410299987
124.000000000	38.707935333	0.412200004
126.000000000	38.530086517	0.414200008
128.000000000	38.361888885	0.416100025
130.000000000	38.203224182	0.417899996
132.000000000	38.062736511	0.419499993
134.000000000	37.914031982	0.421200037
136.000000000	37.774612427	0.422799975
138.000000000	37.635700226	0.424400002
140.000000000	37.488666534	0.426100016
142.000000000	37.385223389	0.427300006
144.000000000	37.256324768	0.428799987
146.000000000	37.102230072	0.430599988
148.000000000	36.940265656	0.432499975
150.000000000	36.795948029	0.434199989
152.000000000	36.677520752	0.435600042
154.000000000	36.593166351	0.436600000
156.000000000	36.500598907	0.437700003
158.000000000	36.383125305	0.439099997
160.000000000	36.291088104	0.440200001
162.000000000	36.190952301	0.441399992
164.000000000	36.032962799	0.443300039
166.000000000	35.842639923	0.445600003
168.000000000	35.686176300	0.447499990
170.000000000	35.546756744	0.449200004
172.000000000	35.407886505	0.450899988
174.000000000	35.277679443	0.452499986
176.000000000	35.172237396	0.453799993
178.000000000	35.075187683	0.454999983
180.000000000	34.962299347	0.456400007
