Vernier Format 2
20250319_RedDelicious_Run20.SBL	14:39  Wednesday, March 19, 2025
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
s	%	

0.000000000	100.000000000	0.000000000
2.000000000	100.000000000	0.000000000
4.000000000	100.000000000	0.000000000
6.000000000	63.197513580	0.199300006
8.000000000	63.182964325	0.199400008
10.000000000	62.791378021	0.202099979
12.000000000	62.474098206	0.204300001
14.000000000	62.129806519	0.206699997
16.000000000	62.015464783	0.207499996
18.000000000	61.844345093	0.208700001
20.000000000	61.787410736	0.209100008
22.000000000	61.815872192	0.208900005
24.000000000	61.915588379	0.208199993
26.000000000	61.972640991	0.207800001
28.000000000	61.972640991	0.207800001
30.000000000	62.001186371	0.207599998
32.000000000	61.958370209	0.207900017
34.000000000	61.901332855	0.208299994
36.000000000	61.844345093	0.208700001
38.000000000	61.815872192	0.208900005
40.000000000	61.744743347	0.209400013
42.000000000	61.687900543	0.209800005
44.000000000	61.588554382	0.210499987
46.000000000	61.432754517	0.211600006
48.000000000	61.305580139	0.212499991
50.000000000	61.192752838	0.213300005
52.000000000	61.122344971	0.213799998
54.000000000	61.023906708	0.214499995
56.000000000	60.911598206	0.215300009
58.000000000	60.799499512	0.216099992
60.000000000	60.631736755	0.217299998
62.000000000	60.464435577	0.218500003
64.000000000	60.339263916	0.219399989
66.000000000	60.255958557	0.219999999
68.000000000	60.200485229	0.220400006
70.000000000	60.145065308	0.220799997
72.000000000	60.048202515	0.221499994
74.000000000	59.979106903	0.222000003
76.000000000	59.882511139	0.222700000
78.000000000	59.758541107	0.223600015
80.000000000	59.662300110	0.224300012
82.000000000	59.552501678	0.225099996
84.000000000	59.442901611	0.225899994
86.000000000	59.360836029	0.226499990
88.000000000	59.278881073	0.227100000
90.000000000	59.169784546	0.227900013
92.000000000	59.088096619	0.228499994
94.000000000	58.992935181	0.229199991
96.000000000	58.857254028	0.230200008
98.000000000	58.694850922	0.231399998
100.000000000	58.559856415	0.232400000
102.000000000	58.411720276	0.233500004
104.000000000	58.263961792	0.234599993
106.000000000	58.089817047	0.235899985
108.000000000	57.942867279	0.237000018
110.000000000	57.862873077	0.237599999
112.000000000	57.809604645	0.238000005
114.000000000	57.729793549	0.238600001
116.000000000	57.636817932	0.239299998
118.000000000	57.570499420	0.239800006
120.000000000	57.451316833	0.240700006
122.000000000	57.358791351	0.241400003
124.000000000	57.305988312	0.241799995
126.000000000	57.253231049	0.242200002
128.000000000	57.161022186	0.242900014
130.000000000	57.082107544	0.243499994
132.000000000	57.016426086	0.244000003
134.000000000	56.950824738	0.244499981
136.000000000	56.911495209	0.244800001
138.000000000	56.872196198	0.245100006
140.000000000	56.780601501	0.245800018
142.000000000	56.689155579	0.246500015
144.000000000	56.636966705	0.246900007
146.000000000	56.571800232	0.247400001
148.000000000	56.493698120	0.247999996
150.000000000	56.415702820	0.248599991
152.000000000	56.337814331	0.249200001
154.000000000	56.272991180	0.249699995
156.000000000	56.247081757	0.249899998
158.000000000	56.195301056	0.250299990
160.000000000	56.104797363	0.250999987
162.000000000	56.040241241	0.251500010
164.000000000	55.924228668	0.252400011
166.000000000	55.795604706	0.253399998
168.000000000	55.705745697	0.254099995
170.000000000	55.616031647	0.254799992
172.000000000	55.500896454	0.255699992
174.000000000	55.437038422	0.256199986
176.000000000	55.386001587	0.256599993
178.000000000	55.284069061	0.257400006
180.000000000	55.144218445	0.258500010
